Year,Unit,MapUnit
2013,6001,21
2013,6002,50
2013,6003,23
2013,6004,47
2013,6005,36
2013,6006,37
2013,6007,310
2013,6008,43
2013,6009,44
2013,6010,51
2014,6001,21
2014,6002,23
2014,6003,47
2014,6004,36
2014,6005,37
2014,6006,310
2014,6007,43
2014,6008,44
2014,6009,51
2014,6010,62
2014,6011,62
2014,6012,63
2015,6000,21
2015,6001,23
2015,6002,36
2015,6003,37
2015,6004,43
2015,6005,44
2015,6006,47
2015,6007,48
2015,6008,51
2015,6009,71
2015,6010,71
2016,6000,21
2016,6001,23
2016,6002,36
2016,6003,37
2016,6004,43
2016,6005,44
2016,6006,47
2016,6007,48
2016,6008,51
2016,6009,71
2016,6010,71
2017,6000,21
2017,6001,23
2017,6002,36
2017,6003,37
2017,6004,43
2017,6005,44
2017,6006,47
2017,6007,48
2017,6008,51
2017,6009,71
2017,6010,71
2018,6000,21
2018,6001,23
2018,6002,36
2018,6003,37
2018,6004,43
2018,6005,44
2018,6006,47
2018,6007,48
2018,6008,54
2018,6009,55
2018,6010,56
2018,6011,57
2018,6012,71
2018,6013,71
2019,6000,21
2019,6001,23
2019,6002,36
2019,6003,37
2019,6004,43
2019,6005,44
2019,6006,47
2019,6007,48
2019,6008,54
2019,6009,55
2019,6010,56
2019,6011,57
2020,6000,21
2020,6001,23
2020,6002,36
2020,6003,37
2020,6004,43
2020,6005,44
2020,6006,47
2020,6007,48
2020,6008,54
2020,6009,55
2020,6010,56
2020,6011,57
2021,6000,21
2021,6001,23
2021,6002,36
2021,6003,37
2021,6004,43
2021,6005,44
2021,6006,47
2021,6007,48
2021,6008,54
2021,6009,55
2021,6010,56
2021,6011,57
2021,6012,61
2021,6013,61
2021,6014,61
2022,6000,21
2022,6001,23
2022,6002,36
2022,6003,37
2022,6004,43
2022,6005,44
2022,6006,47
2022,6007,48
2022,6008,54
2022,6009,55
2022,6010,56
2022,6011,57
2023,6002,36
2023,6003,37
2023,6004,43
2023,6005,44
2023,6006,47
2023,6007,54
2023,6008,55
2023,6009,56
2023,6010,57
